Time	RAW:MW2	RAW:PROMIDA	RAW:PROMIDB	RAW:IAC	RAW:CT	RAW:MPH	RAW:MAP	RAW:RPM	RAW:TPS	RAW:INT	RAW:O2	RAW:MALFFLG1	RAW:MALFFLG2	RAW:MALFFLG3	RAW:MWAF1	RAW:MCU1IO	RAW:MCU2IO	RAW:VOLT	RAW:BLM	RAW:O2_CNT	RAW:ADVANCE	RAW:EGRDC	RAW:MAT	RAW:BPWMSB	RAW:BPWLSB	SENSOR:PROMID	SENSOR:IAC	SENSOR:Coolant Temp	SENSOR:SPEED	SENSOR:MAP	SENSOR:RPM	SENSOR:TPS	SENSOR:INT	SENSOR:O2	SENSOR:Battery Voltage	SENSOR:BLM	SENSOR:rich / lean counter	SENSOR:ADVANCE	SENSOR:EGRDC	SENSOR:MAT	SENSOR:BPW	MW2:Vss Pulse Occured	MW2:ESC 43B Ready for second Pwr Enrich	MW2:DRP Occured	MW2:Factory Test Mode (3.9k Ohms	MW2:Diagnostic Mode (0 Ohms)	MW2:ALDL Mode (10k Ohms)	MW2:High BAT voltage	MW2:Old basttery Flag	MWAF1:Low RPM hysteresis Flag	MWAF1:BLM Enable Flag	MWAF1:Low Battery (IAC Inhibited)	MWAF1:Quasi-Asynch transition Flag	MWAF1:Asynchronous Pulse Flag	MWAF1:1st time C/L or slow rich/lean	MWAF1:Rich Flag	MWAF1:Closed Loop Flag	MCU1IO:IAC coil A	MCU1IO:IAC coil B	MCU1IO:IAC motor on	MCU1IO:Not Used	MCU1IO:Vaccum present	MCU1IO:A/C enabled	MCU1IO:Wastegate bypass	MCU1IO:Park/Neutral	MCU2IO:A/C clutch	MCU2IO:Coolant pullup selected	MCU2IO:TCC Locked	MCU2IO:COP2	MCU2IO:Not Used	MCU2IO:Power Steering active	MCU2IO:Not Used	MCU2IO:Not Used	MALFFLG1:24  VSS (Vehicle Speed Sensor)	MALFFLG1:23  IAT / MAT low (Air Temperature)	MALFFLG1:22  TPS low (Throttle Position Sensor)	MALFFLG1:21  TPS high (Throttle Position Sensor)	MALFFLG1:15  CT low (Coolant Temperature)	MALFFLG1:14  CT high (Coolant Temperature)	MALFFLG1:13  Oxygen sensor	MALFFLG1:12  Engine not running	MALFFLG2:42  EST (Electronic Spark Timing)	MALFFLG2:41  Not Used	MALFFLG2:35  IAC	MALFFLG2:34  MAP low (Manifold Air Pressure)	MALFFLG2:33  MAP high (Manifold Air Pressure)	MALFFLG2:32  EGR (Exhaust Gas Recirculation)	MALFFLG2:31  Wastegate high MAP (overboost)	MALFFLG2:25  MAT high (Air Temperature)	MALFFLG3:55  ADU error	MALFFLG3:54  Not Used	MALFFLG3:53  High BAT voltage	MALFFLG3:52  CAL Pack missing	MALFFLG3:51  PROM error	MALFFLG3:45  O2 rich (Oxygen sensor)	MALFFLG3:44  O2 lean (Oxygen sensor)	MALFFLG3:43  Knock ESC
9.0	32	13	44	147	94	0	246	0	26	128	99	0	0	0	0	165	24	117	128	0	0	0	170	2	52	3372	147	86.9	0	101.1	0	-0.7	128	0.438	11.7	128	0	0.00	0.0	87.2	564	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.5	32	13	44	147	94	0	246	0	26	128	100	0	0	0	0	165	24	117	128	0	0	0	170	2	52	3372	147	86.9	0	101.1	0	-0.7	128	0.442	11.7	128	0	0.00	0.0	87.2	564	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.0	32	13	44	147	94	0	246	0	26	128	99	0	0	0	0	165	24	117	128	0	0	0	170	2	52	3372	147	86.9	0	101.1	0	-0.7	128	0.438	11.7	128	0	0.00	0.0	87.2	564	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.4	32	13	44	147	94	0	240	0	26	128	100	0	0	0	0	165	24	97	128	0	0	0	170	2	48	3372	147	86.9	0	98.9	0	-0.7	128	0.442	9.7	128	0	0.00	0.0	87.2	560	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.9	32	13	44	147	94	0	234	9	26	128	99	0	0	0	0	165	24	98	128	0	0	0	170	2	54	3372	147	86.9	0	96.7	225	-0.7	128	0.438	9.8	128	0	0.00	0.0	87.2	566	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.4	32	13	44	147	94	0	234	9	26	128	99	0	0	0	0	165	24	93	128	0	0	0	170	2	48	3372	147	86.9	0	96.7	225	-0.7	128	0.438	9.3	128	0	0.00	0.0	87.2	560	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.9	32	13	44	147	94	0	233	9	26	128	99	0	0	0	0	165	24	98	128	0	0	0	169	2	42	3372	147	86.9	0	96.3	225	-0.7	128	0.438	9.8	128	0	0.00	0.0	87.9	554	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.3	32	13	44	147	94	0	231	10	26	128	100	0	0	0	0	165	24	95	128	0	0	0	169	2	42	3372	147	86.9	0	95.6	250	-0.7	128	0.442	9.5	128	0	0.00	0.0	87.9	554	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.8	32	13	44	147	94	0	232	9	26	128	100	0	0	0	0	165	24	99	128	0	0	0	169	2	6	3372	147	86.9	0	96.0	225	-0.7	128	0.442	9.9	128	0	0.00	0.0	87.9	518	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.3	32	13	44	147	94	0	212	14	26	128	99	0	0	0	0	165	24	104	128	0	0	0	169	1	0	3372	147	86.9	0	88.6	350	-0.7	128	0.438	10.4	128	0	0.00	0.0	87.9	256	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
